Group,URL,Description,Info
 2D drawing ,redirection-new.php?URL=576f4e5d8a3f50be78086dffee1da54f87086e2fee0adc34a5ffa5d6c9ebc7cb&NAME=ChemDraw,ChemDraw,. Molecule editor developed by the cheminformatics company CambridgeSoft. For Windows and Mac.
 2D drawing ,redirection-new.php?URL=4c6d759a97347db8a7a24867cb53c961839ced25040da35b498340c88dcd4eea&NAME=MarvinSketch,MarvinSketch,". Advanced chemical editor for drawing chemical structures, queries and reactions developed by ChemAxon. Exists as an applet."
 2D drawing ,redirection-new.php?URL=9e42f94c0904be485991263225af898b30d92182b575006af082fdf9f22b62ca&NAME=ACD/ChemSketch,ACD/ChemSketch,". Molecule editor developed by ACD/Labs. Also available as freeware, with tools for 2D structure cleaning, 3D optimization and viewing, InChI generation and conversion, drawing of polymers, organometallics, and Markush structures. For Windows only."
 2D drawing ,redirection-new.php?URL=fb4bef24ee6386cbf9e934fc475047aae90562c9243b80e2d3a6b003a63b8401&NAME=DataWarrior,DataWarrior,". Free Cheminformatics Program for Data Visualization and Analysis. DataWarrior combines dynamic graphical views and interactive row filtering with chemical intelligence. Scatter plots, box plots, bar charts and pie charts not only visualize numerical or category data, but also show trends of multiple scaffolds or compound substitution patterns. Compounds can be clustered and diverse subsets can be picked. Calculated compound similarities can be used for multidimensional scaling methods, e.g. Kohonen nets. Physicochemical properties can be calculated, structure activity relationship tables can be created and activity cliffs be visualized."
 2D drawing ,redirection-new.php?URL=9c73f9f395550276f4a21bd0dbebf29e73e8473756ffc7dd5e34a6b89179b035&NAME=JKluster,JKluster,". Tool of JChem for clustering, diversity calculations, and library comparisons based on molecular fingerprints and other descriptors. Useful in combinatorial chemistry, drug design, or other areas where a large number of compounds need to be analyzed. Provided by ChemAxon."
 2D drawing ,redirection-new.php?URL=28a97dfb11060662799a21076be4caa7ede9802b5f0e9ce0bca4bcd9a1598136&NAME=SMARTSeditor,SMARTSeditor,". Graphic editing tool for generic chemical patterns. Based on the SMARTS language, chemical patterns can be created and edited interactively, similar to molecule editing in a chemical structure editor. The visualization of patterns is based on the visualization concept of the SMARTSviewer.Freely available for linux systems with 32 and 64 bit, windows 32bit systems and MacOS. Developed by the University of Hamburg."
 2D drawing ,redirection-new.php?URL=36729b3a1fd4a85b6cd9040e65fb5687113ae02b40c376dfe188dbbe3a42c0af&NAME=VLifeBase,VLifeBase,". Provides features to build a molecule from scratch using 2D Draw and conversion to 3D. The 3D editor allows addition, modification, replacement and deletion of atoms, bonds and groups, with Undo and Redo operations. Provided by VLife."
 2D drawing ,redirection-new.php?URL=74cad1c84e107d10bc699715365d96de0252cf91838f804b2a225be04f33ef4e&NAME=ISIS/Draw,ISIS/Draw,". Chemical structure drawing program for Windows, published by MDL Information Systems. Free of charge for academic and personal use."
 2D drawing ,redirection-new.php?URL=b41a7a0eb716897b79c54bdf1d0e7544d84be5f00484420547d815026ca4eb48&NAME=ChemDoodle,ChemDoodle,". Chemical structure environment with a main focus on 2D graphics and publishing to create media for structures, reactions and spectra.  For Windows, Mac and Linux."
 2D drawing ,redirection-new.php?URL=08ec4123a54c7a0c7a292655819681f399f7f6ba71ae0ccabcee5f5d6c2eb5d7&NAME=ChemDrawforiPad,ChemDraw for iPad,". iPad application to create, edit and share publication-quality chemical structures with just the touch of a finger, based on the world’s most popular chemical drawing software, ChemDraw. Provided by PerkinElmer, Inc."
 2D drawing ,redirection-new.php?URL=6757e6b1f98be757a98f45c59de45c70c6b8c81648df07c087d7dadec5803338&NAME=TouchMolDeskopApplication,TouchMol Deskop Application,". Tool for drawing chemical and biological structures, optimized for Touch Operations. Allows Copy/Paste to ChemDraw, ISIS/Draw, SciFinder and Word. Provides name-to-structure. For Windows 8. Provided by Scilligence."
 2D drawing ,redirection-new.php?URL=6757e6b1f98be757a98f45c59de45c70c6b8c81648df07c087d7dadec5803338&NAME=TouchMolforOffice,TouchMol for Office,". Desktop tool for drawing chemical and biological structures, into the MS Office suite. Provided by Scilligence."
 2D drawing ,redirection-new.php?URL=01a72cadc255c2e6af224cda0d51e11256c60553ed5142e5ba827232e351cda8&NAME=ChemDoodleMobile,ChemDoodle Mobile,". Free iPhone companion to ChemDoodle. ChemDoodle Mobile is a calculator for drawn organic structures. There are four main windows: Draw, Calculate, Spectra and Help. The Draw window shows a typical ChemDoodle sketcher, where you can draw and store your structures. The Calculate page calculates properties and the Spectra page simulates NMR spectra. All spectra are interactive. The Help page contains a thorough help guide. Provided by iChemLabs."
